band,channel,task1,task2,task1_mean,task2_mean,t_statistic,p_value,significant
alpha,C3,task1,task2,1.6759414542201164e-12,1.6588637208820954e-12,0.0987921952575343,0.9216439169541308,False
alpha,C4,task1,task2,1.6553050464457001e-12,1.6779091327351416e-12,-0.11766977916910887,0.9067358655693865,False
alpha,Cz,task1,task2,2.079270228339274e-12,2.196148082245939e-12,-0.5485759619507854,0.5854020446992636,False
beta,C3,task1,task2,5.167562779839148e-12,5.392649975778346e-12,-0.807330359603002,0.4227747303974869,False
beta,C4,task1,task2,5.118688076825187e-12,5.1676586099661085e-12,-0.214524619590016,0.8308904381306521,False
beta,Cz,task1,task2,6.0428251378478275e-12,6.183656689901172e-12,-0.43540065399751293,0.6648876770973151,False
delta,C3,task1,task2,5.6013638715532354e-12,6.9828530157737935e-12,-1.9528261659998416,0.055671286137852494,False
delta,C4,task1,task2,5.420688486768245e-12,6.413884012651022e-12,-1.9040535831324192,0.06186780378207838,False
delta,Cz,task1,task2,7.1297282485492984e-12,8.953497774118627e-12,-2.3914972941791666,0.020043586971188108,True
theta,C3,task1,task2,2.1250382477397732e-12,2.161860714230614e-12,-0.16516158827836913,0.8693911142231895,False
theta,C4,task1,task2,2.0696978735153844e-12,2.055807958915774e-12,0.07091428077657519,0.9437099339061521,False
theta,Cz,task1,task2,2.9055876256477985e-12,2.7911679817460248e-12,0.3944535598565249,0.6946929278916159,False
