task,channel,band,power,time_window
task1,C3,alpha,1.2298041507145336e-12,baseline
task1,C3,beta,4.494499263343243e-12,baseline
task1,C3,delta,6.534420975987966e-12,baseline
task1,C3,theta,1.923457631720854e-12,baseline
task1,C4,alpha,1.619037496993569e-12,baseline
task1,C4,beta,5.1625337942873336e-12,baseline
task1,C4,delta,5.1362009439996694e-12,baseline
task1,C4,theta,1.8680234149341194e-12,baseline
task1,Cz,alpha,1.9125523242548045e-12,baseline
task1,Cz,beta,5.56833855978368e-12,baseline
task1,Cz,delta,7.741944133414179e-12,baseline
task1,Cz,theta,2.7009697032525265e-12,baseline
task2,C3,alpha,1.2478876643454817e-12,baseline
task2,C3,beta,4.84621263226909e-12,baseline
task2,C3,delta,5.1913821095639285e-12,baseline
task2,C3,theta,1.7325678511750368e-12,baseline
task2,C4,alpha,1.5885979739909446e-12,baseline
task2,C4,beta,5.026579671848945e-12,baseline
task2,C4,delta,4.951216569041894e-12,baseline
task2,C4,theta,1.860763320031278e-12,baseline
task2,Cz,alpha,1.7687678290163721e-12,baseline
task2,Cz,beta,5.777607775789803e-12,baseline
task2,Cz,delta,7.115580915479006e-12,baseline
task2,Cz,theta,2.450917552567897e-12,baseline
task1,C3,alpha,1.779401700524599e-12,early
task1,C3,beta,5.2586469111439136e-12,early
task1,C3,delta,7.100314022098907e-12,early
task1,C3,theta,2.0051433218151555e-12,early
task1,C4,alpha,1.622135865469401e-12,early
task1,C4,beta,5.172438790995543e-12,early
task1,C4,delta,6.4762082194985e-12,early
task1,C4,theta,2.1977728235380926e-12,early
task1,Cz,alpha,2.185744369614931e-12,early
task1,Cz,beta,6.0536685735211634e-12,early
task1,Cz,delta,9.232172714474774e-12,early
task1,Cz,theta,2.7329224592166332e-12,early
task2,C3,alpha,1.996597910215288e-12,early
task2,C3,beta,5.53221551525652e-12,early
task2,C3,delta,8.036630527080317e-12,early
task2,C3,theta,2.2638478793921734e-12,early
task2,C4,alpha,2.1683178805292332e-12,early
task2,C4,beta,5.359883993504472e-12,early
task2,C4,delta,7.052279848798387e-12,early
task2,C4,theta,2.1941689707994952e-12,early
task2,Cz,alpha,2.683747960312052e-12,early
task2,Cz,beta,6.380023410952815e-12,early
task2,Cz,delta,1.0596029888038198e-11,early
task2,Cz,theta,3.0797705649058853e-12,early
task1,C3,alpha,1.6365370110592142e-12,mid
task1,C3,beta,4.8231688305423376e-12,mid
task1,C3,delta,5.361017221460614e-12,mid
task1,C3,theta,2.0870856173623834e-12,mid
task1,C4,alpha,1.5560656895310226e-12,mid
task1,C4,beta,4.7398401616033635e-12,mid
task1,C4,delta,5.18184654311181e-12,mid
task1,C4,theta,2.032504629897046e-12,mid
task1,Cz,alpha,1.9723638686317506e-12,mid
task1,Cz,beta,5.5749021163506595e-12,mid
task1,Cz,delta,6.643800895426895e-12,mid
task1,Cz,theta,2.8594932736320834e-12,mid
task2,C3,alpha,1.574688974820969e-12,mid
task2,C3,beta,5.076565602307296e-12,mid
task2,C3,delta,6.2804133902503116e-12,mid
task2,C3,theta,2.232028561402908e-12,mid
task2,C4,alpha,1.4328462622727317e-12,mid
task2,C4,beta,4.913672751578783e-12,mid
task2,C4,delta,5.640641329974098e-12,mid
task2,C4,theta,2.0336881115757486e-12,mid
task2,Cz,alpha,2.0550773993175096e-12,mid
task2,Cz,beta,5.816269359243326e-12,mid
task2,Cz,delta,8.015793635267943e-12,mid
task2,Cz,theta,2.8911193049767947e-12,mid
task1,C3,alpha,1.3834840977411786e-12,late
task1,C3,beta,4.9926239603893784e-12,late
task1,C3,delta,5.9786672129365365e-12,late
task1,C3,theta,1.8586003144661287e-12,late
task1,C4,alpha,1.6123123757416389e-12,late
task1,C4,beta,5.495139411031175e-12,late
task1,C4,delta,5.31788456546153e-12,late
task1,C4,theta,1.8763832164046184e-12,late
task1,Cz,alpha,1.8918592100587306e-12,late
task1,Cz,beta,5.993840969763816e-12,late
task1,Cz,delta,7.59051933106976e-12,late
task1,Cz,theta,2.7179339916202135e-12,late
task2,C3,alpha,1.2374983539233978e-12,late
task2,C3,beta,5.001751031913398e-12,late
task2,C3,delta,5.433120342363892e-12,late
task2,C3,theta,1.9715894497904363e-12,late
task2,C4,alpha,1.441639281607347e-12,late
task2,C4,beta,5.038847549166524e-12,late
task2,C4,delta,5.975277778327151e-12,late
task2,C4,theta,2.011550867722492e-12,late
task2,Cz,alpha,1.6176958167084115e-12,late
task2,Cz,beta,5.809998793566478e-12,late
task2,Cz,delta,7.623290051288666e-12,late
task2,Cz,theta,2.600739211884885e-12,late
